Datum;Erster;Hoch;Tief;Schlusskurs
14.11.2019;62,83;63,21;62,13;62,43
13.11.2019;61,74;62,73;61,21;62,49
12.11.2019;62,43;62,86;61,85;62,11
11.11.2019;61,92;62,79;61,56;62,2
08.11.2019;61,75;62,71;60,69;62,59
07.11.2019;62,07;62,84;61,99;62,17
06.11.2019;62,4;63,25;61,6;61,89
05.11.2019;62,27;63,16;62,14;62,91
04.11.2019;61,51;62,78;61,43;62,15
01.11.2019;59,42;61,79;59,4;61,79
31.10.2019;60,95;61,15;60,03;60,19
30.10.2019;61,72;61,94;60,41;60,56
29.10.2019;61,19;61,95;60,63;61,57
28.10.2019;61,79;62,38;61,18;61,55
25.10.2019;61,52;62,1;60,92;62,05
24.10.2019;61,07;61,92;60,61;61,61
23.10.2019;59,5;61,31;58,85;61,02
22.10.2019;59,34;60,28;59,13;59,61
21.10.2019;59,42;59,52;58,26;59,07
18.10.2019;59,78;60,3;58,98;59,3
17.10.2019;59,09;59,97;58,68;59,86
16.10.2019;58,9;59,75;58,35;59,42
15.10.2019;59,08;59,67;58;58,9
14.10.2019;59,7;60,11;58,53;59,25
11.10.2019;60,4;60,67;59,37;60,49
10.10.2019;58,22;59,35;57,79;59,25
09.10.2019;58,06;59,34;57,91;58,3
08.10.2019;58,74;58,95;57,36;57,93
07.10.2019;58,26;59,69;58,19;58,46
04.10.2019;57,83;58,97;57,66;58,34
03.10.2019;57,55;57,97;56,15;57,6
02.10.2019;59,08;59,24;57,2;57,6
01.10.2019;59,41;60,11;58,4;58,95
30.09.2019;61,62;61,68;60,7;60,73
27.09.2019;62,38;62,74;60,77;61,84
26.09.2019;62,23;62,92;61,47;62,68
25.09.2019;62,46;62,52;61,21;62,43
24.09.2019;64,11;64,36;62,46;62,55
23.09.2019;64,58;64,82;63,53;64,43
20.09.2019;64,81;65,29;64,04;64,65
19.09.2019;63,59;65,57;63,54;64,54
18.09.2019;64,67;64,73;63,07;63,48
17.09.2019;68,56;69,21;63,8;64,15
16.09.2019;65,33;69,64;64,87;67,98
13.09.2019;60,24;60,8;59,58;60,27
12.09.2019;60,95;61,21;58,94;60,36
